Feature_Index	Peak_Index
14	10373
14	10398
14	10417
14	10433
14	10454
15	8436
15	8447
15	8457
15	8468
15	8479
15	8488
15	8498
16	5829
16	5843
16	5854
16	5866
16	5879
16	5894
16	5909
16	5922
16	5935
16	5952
16	5968
16	5981
16	5996
16	6010
16	6028
16	6043
16	6062
16	6109
17	13100
17	13113
17	13125
17	13137
17	13155
17	13173
17	13191
17	13214
17	13236
17	13259
17	13281
17	13304
17	13328
17	13352
17	13375
17	13397
17	13419
18	3518
18	3530
18	3544
18	3566
18	3586
18	3597
18	3611
18	3633
18	3653
18	3675
19	4816
19	4842
19	4862
19	4887
19	4911
19	4932
19	4955
19	4975
19	4987
19	5002
19	5023
19	5042
19	5069
19	5098
19	5123
19	5147
19	5171
20	6365
20	6382
20	6393
20	6412
20	6425
20	6438
20	6452
20	6469
20	6486
20	6500
20	6506
20	6527
20	6543
20	6560
20	6578
20	6598
20	6617
20	6636
20	6658
20	6682
20	6765
21	20052
21	20072
21	20092
21	20113
21	20129
22	12993
22	13009
22	13023
22	13038
22	13053
22	13064
22	13071
22	13080
22	13085
22	13093
22	13101
22	13114
22	13126
22	13138
22	13156
22	13174
22	13192
23	9026
23	9065
23	9089
23	9112
23	9134
23	9158
24	10192
24	10213
24	10233
24	10255
24	10275
24	10312
24	10337
24	10357
25	12770
25	12790
25	12808
25	12825
25	12841
25	12858
25	12875
25	12894
25	12910
25	12927
25	12945
25	12963
26	14502
26	14515
26	14526
26	14536
26	14546
26	14556
26	14563
26	14572
26	14581
26	14592
26	14603
26	14613
26	14626
26	14639
26	14653
26	14669
26	14685
26	14702
26	14719
26	14741
26	14762
27	3283
27	3312
27	3329
27	3347
27	3369
27	3389
28	19575
28	19607
28	19634
28	19662
28	19691
28	19740
28	19766
28	19792
28	19817
28	19845
29	18194
29	18212
29	18232
29	18251
29	18270
29	18291
29	18311
29	18358
29	18374
29	18391
29	18411
29	18428
29	18446
29	18464
30	18110
30	18122
30	18135
30	18149
30	18164
30	18178
30	18195
30	18213
30	18233
30	18252
30	18271
30	18292
30	18312
30	18333
30	18359
30	18375
30	18412
31	13680
31	13699
31	13720
31	13744
31	13767
31	13787
31	13811
31	13836
31	13862
31	13887
32	9280
32	9294
32	9311
32	9328
32	9343
32	9358
32	9377
32	9395
32	9416
32	9439
32	9462
32	9484
32	9507
32	9529
32	9569
32	9665
32	9682
32	9703
32	9739
33	18165
33	18179
33	18196
33	18214
33	18234
33	18253
33	18272
33	18293
33	18313
33	18336
33	18360
33	18376
33	18393
33	18413
33	18429
33	18447
33	18465
33	18482
33	18496
34	5923
34	5936
34	5954
34	5969
34	5982
34	5997
34	6011
34	6029
34	6044
34	6063
34	6079
34	6093
34	6110
34	6124
34	6139
34	6155
35	24685
35	24708
35	24731
35	24756
35	24775
35	24795
35	24813
35	24829
35	24846
35	24866
35	24886
35	24905
35	24923
35	24941
35	24961
35	24982
35	25005
35	25030
35	25056
35	25082
35	25107
35	25129
35	25148
35	25163
35	25179
35	25195
35	25210
35	25229
35	25247
35	25261
35	25278
35	25294
35	25312
35	25329
35	25347
35	25369
35	25391
35	25417
35	25443
35	25471
35	25486
35	25515
35	25543
35	25566
35	25598
35	25686
35	25716
35	25743
35	25773
35	25801
35	25827
35	25857
35	25876
35	25906
35	25936
35	25962
35	25996
35	26020
35	26048
35	26074
35	26099
36	16879
36	16890
36	16900
36	16910
36	16921
36	16930
36	16941
36	16953
36	16966
36	16980
36	16996
36	17010
36	17022
36	17036
36	17056
36	17077
37	2334
37	2352
37	2373
37	2396
37	2420
38	6012
38	6030
38	6045
38	6064
38	6080
39	5315
39	5353
39	5372
39	5387
39	5403
39	5416
40	20777
40	20791
40	20804
40	20818
40	20831
40	20848
40	20863
40	20878
40	20894
40	20911
40	20925
40	20956
41	10455
41	10474
41	10496
41	10521
41	10548
42	20419
42	20433
42	20445
42	20467
42	20481
42	20493
42	20506
42	20521
42	20538
42	20559
42	20579
42	20597
42	20612
42	20631
42	20646
42	20662
42	20679
42	20696
42	20714
42	20735
43	23463
43	23488
43	23517
43	23553
43	23588
43	23625
43	23658
43	23695
43	23729
43	23758
43	23790
43	23819
43	23850
43	23884
43	23913
43	23935
43	23961
43	23985
43	24008
43	24029
43	24047
43	24060
43	24073
43	24088
43	24102
43	24118
43	24129
43	24142
43	24158
44	19375
44	19402
44	19427
44	19455
44	19483
44	19512
44	19543
44	19576
45	23404
45	23422
45	23443
45	23464
45	23489
45	23518
45	23554
45	23589
45	23659
46	22966
46	22986
46	23002
46	23019
46	23035
46	23053
46	23068
46	23081
46	23094
46	23106
46	23118
46	23131
46	23145
46	23156
46	23169
46	23181
46	23193
46	23206
46	23218
46	23245
46	23258
46	23272
46	23284
46	23297
46	23313
46	23327
46	23341
46	23370
46	23387
46	23490
46	23519
47	6599
47	6618
47	6637
47	6659
47	6684
47	6706
47	6731
47	6740
47	6767
47	6795
47	6813
47	6828
47	6840
48	5025
48	5044
48	5073
48	5102
48	5127
48	5149
48	5174
49	12178
49	12204
49	12231
49	12258
49	12280
49	12300
49	12320
49	12340
49	12359
49	12373
49	12388
49	12402
49	12416
49	12428
49	12444
49	12457
49	12473
49	12491
49	12505
49	12520
49	12537
49	12555
49	12571
49	12587
49	12663
50	3191
50	3209
50	3228
50	3241
50	3255
50	3269
50	3285
50	3299
50	3315
50	3333
50	3351
50	3373
50	3393
50	3411
50	3430
50	3453
50	3466
50	3476
50	3487
50	3495
50	3502
50	3508
50	3520
50	3532
50	3546
50	3568
50	3588
50	3598
50	3613
50	3635
50	3656
50	3678
51	17453
51	17467
51	17484
51	17500
51	17514
51	17529
51	17553
51	17562
51	17570
51	17584
51	17601
51	17618
51	17640
