scan_num	charge	abundance	mz	fit	average_mw	monoisotopic_mw	mostabundant_mw	fwhm	signal_noise	mono_abundance	mono_plus2_abundance	index
2548	1	158000	631.3457	0.009	630.7225	630.3384	630.3384	0	0	0	0	3011
2551	1	148000	631.3414	0.006	630.7182	630.3342	630.3342	0	0	0	0	3018
2554	1	161000	631.3413	0.006	630.7181	630.3341	630.334	0	0	0	0	3026
2556	1	167000	631.3413	0.006	630.7181	630.3341	630.3341	0	0	0	0	3037
2559	1	152000	631.3413	0.006	630.7181	630.334	630.334	0	0	0	0	3050
2562	1	166000	631.3412	0.007	630.718	630.334	630.3339	0	0	0	0	3062
2562	1	3580	638.2898	0.006	637.6675	637.2825	637.2826	0	0	0	0	3064
2565	1	169000	631.3413	0.005	630.7181	630.3341	630.3341	0	0	0	0	3077
2565	1	6940	638.2901	0.006	637.6678	637.2828	637.2829	0	0	0	0	3079
2568	1	180000	631.3413	0.007	630.7181	630.334	630.334	0	0	0	0	3089
2568	1	12200	638.2901	0.011	637.6677	637.2828	637.2828	0	0	0	0	3091
2571	1	84200	631.3428	0.008	630.7196	630.3356	630.3356	0	0	0	0	3097
2571	1	13800	638.2917	0.005	637.6693	637.2844	637.2844	0	0	0	0	3098
2574	1	103000	631.3419	0.007	630.7187	630.3347	630.3346	0	0	0	0	3102
2576	1	119000	631.3413	0.007	630.7181	630.3341	630.3341	0	0	0	0	3109
2576	1	23700	638.2901	0.006	637.6677	637.2828	637.2828	0	0	0	0	3110
2579	1	83200	631.3414	0.007	630.7182	630.3342	630.3341	0	0	0	0	3123
2579	1	24600	638.2901	0.007	637.6677	637.2828	637.2828	0	0	0	0	3124
2582	1	53900	631.3418	0.004	630.7186	630.3345	630.3345	0	0	0	0	3135
2582	1	25700	638.2903	0.009	637.668	637.283	637.2831	0	0	0	0	3136
2584	1	27100	631.3417	0.005	630.7185	630.3344	630.3344	0	0	0	0	3147
2584	1	27100	638.2899	0.009	637.6676	637.2826	637.2827	0	0	0	0	3149
2586	1	15200	638.2889	0.02	637.6665	637.2816	637.2816	0	0	0	0	3157
