Feature_Index	Scan	Scan_Start	Scan_End	Scan_Aligned	NET	Monoisotopic_Mass	Monoisotopic_Mass_Calibrated	Abundance	Class_Rep_MZ	Class_Rep_Charge
0	1821	1821	1832	1821	0.1004	399.19016	399.19016	49901	402.2088318	1
1	1271	1249	1282	1271	0.0700	399.20287	399.20287	21763.4	401.2148438	1
2	1447	1447	1480	1447	0.0797	399.20355	399.20355	19810.1	400.2101135	1
3	2756	2745	2822	2756	0.1519	399.21239	399.21239	644155	400.2191467	1
4	1392	1249	1403	1392	0.0767	399.21324	399.21324	79380	402.2218018	1
5	996	974	1007	996	0.0549	399.21309	399.21309	12207.8	402.2171631	1
6	778	778	822	778	0.0429	399.21387	399.21387	13111	400.2206116	1
7	483	89	910	483	0.0266	399.22405	399.22405	1.7430324E+06	400.2310791	1
8	2855	2822	2877	2855	0.1574	399.24064	399.24064	779937	400.2473145	1
9	1546	1535	1557	1546	0.0852	399.24098	399.24098	33203	401.2460022	1
10	2415	2404	2415	2415	0.1331	399.741915	399.741915	1.8807150E+06	401.7474976	1
11	13041	12788	13140	13041	0.7191	400.15263	400.15263	3.7242040E+06	401.1594849	1
12	12535	12491	12667	12535	0.6912	400.152495	400.152495	944670	401.1592712	1
13	12271	12172	12326	12271	0.6767	400.152565	400.152565	1.2733980E+06	401.1592407	1
14	13646	13646	13668	13646	0.7525	400.15275	400.15275	52873	401.1594238	1
15	11611	11578	11644	11611	0.6403	400.15291	400.15291	1.1089090E+06	401.159729	1
16	1777	1733	1777	1777	0.0979	400.19221	400.19221	64187	402.2080688	1
17	67	45	78	67	0.0036	400.19642	400.19642	34596.2	402.1983948	1
18	919	844	996	919	0.0506	400.20822	400.20822	407458	401.2151489	1
19	1403	1249	1403	1403	0.0773	400.20826	400.20826	102735.6	402.2217407	1
20	503	503	547	503	0.0277	400.22379	400.22379	5877.1	401.2328186	1
21	310	233	310	310	0.0170	400.22454	400.22454	4465.3	401.2312622	1
22	5374	5374	5396	5374	0.2963	400.23281	400.23281	564843	402.236145	1
23	45	34	45	45	0.0024	400.233385	400.233385	20261.6	401.2397766	1
24	2723	2723	2745	2723	0.1501	400.238455	400.238455	199388	401.2453308	1
25	2679	2679	2690	2679	0.1477	400.24794	400.24794	145841	401.2546692	1
26	2074	2063	2096	2074	0.1143	400.28131	400.28131	674879	401.2880249	1
27	17958	17925	17958	17958	0.9903	400.334965	400.334965	14260	401.3413086	1
28	17595	17595	17749	17595	0.9703	400.334905	400.334905	20947.7	401.3415833	1
29	4439	4439	4461	4439	0.2447	400.72991	400.72991	446787	402.7348938	1
30	56	34	56	56	0.0030	401.1921	401.1921	25950.2	402.198822	1
31	3768	3768	3779	3768	0.2077	401.21266	401.21266	302186	402.2195129	1
32	2294	2272	2305	2294	0.1265	401.21555	401.21555	298059	402.222229	1
33	16231	16220	16253	16231	0.8951	401.222675	401.222675	7858.1	402.2294922	1
34	4076	4076	4087	4076	0.2247	401.222285	401.222285	273775	404.2336426	1
35	67	56	67	67	0.0036	401.22476	401.22476	12750	402.2310486	1
36	2162	2162	2173	2162	0.1192	401.22871	401.22871	77338	402.235321	1
37	1403	1381	1414	1403	0.0773	401.238775	401.238775	80222	402.2454834	1
38	789	690	866	789	0.0435	401.2398	401.2398	497507	402.24646	1
39	1975	1942	1997	1975	0.1089	401.2397	401.2397	1.5402000E+06	402.246521	1
40	941	941	952	941	0.0518	401.26502	401.26502	6048.4	402.2717896	1
41	1623	1623	1634	1623	0.0895	401.70803	401.70803	26164	403.7083435	1
42	3075	3075	3086	3075	0.1695	401.715395	401.715395	207563	402.7221375	1
43	2668	2668	2723	2668	0.1471	401.72028	401.72028	501729	402.7269897	1
44	13888	13734	14141	13888	0.7658	402.16834	402.16834	309199.5	403.1748352	1
45	14669	14493	14724	14669	0.8089	402.16845	402.16845	228640.9	403.1754456	1
46	67	34	78	67	0.0036	402.195805	402.195805	38097.6	403.2019958	1
47	4252	4252	4329	4252	0.2344	402.20859	402.20859	1.8028310E+06	404.2125244	1
48	2162	2129	2239	2162	0.1192	402.21012	402.21012	393520	403.2166748	1
49	4230	4208	4252	4230	0.2332	402.22269	402.22269	939062	405.2288513	1
50	1194	1084	1194	1194	0.0658	402.22385	402.22385	13182.1	403.2308044	1
51	5330	5330	5352	5330	0.2939	402.22417	402.22417	750256	403.2310181	1
52	16572	16561	16572	16572	0.9139	402.22501	402.22501	4023.5	403.2316589	1
53	3933	3911	4021	3933	0.2168	402.22518	402.22518	1.0228198E+07	403.2319031	1
54	17221	17177	17265	17221	0.9496	402.22565	402.22565	8787.6	403.2325745	1
55	14834	14834	14845	14834	0.8180	402.22595	402.22595	4681.1	403.2326355	1
56	5957	5924	5957	5957	0.3285	402.237455	402.237455	1.4119200E+06	403.2446289	1
57	1678	1678	1689	1678	0.0925	402.70111	402.70111	55814	403.7079468	1
58	1799	1788	1799	1799	0.0992	402.72865	402.72865	23434	403.7357178	1
59	3273	3262	3295	3273	0.1804	403.177345	403.177345	431143	405.1859436	1
60	1612	1612	1634	1612	0.0888	403.18397	403.18397	49199	404.1909485	1
61	4241	4230	4241	4241	0.2338	403.189545	403.189545	489142	405.2020569	1
62	1810	1810	1821	1810	0.0998	403.202945	403.202945	67819	404.2096558	1
63	16330	16253	16517	16330	0.9005	403.2131	403.2131	2.3524849E+06	404.2197266	1
64	1832	1810	1865	1832	0.1010	403.21594	403.21594	114998	404.2225952	1
65	17188	17177	17199	17188	0.9478	403.22107	403.22107	5468.8	404.2277527	1
66	4186	4186	4208	4186	0.2308	403.22653	403.22653	379276	405.2290955	1
67	16891	16891	16924	16891	0.9315	404.086015	404.086015	21574.8	405.092926	1
68	2690	2668	2690	2690	0.1483	404.19186	404.19186	203766	405.1983643	1
69	1260	1260	1271	1260	0.0694	404.20519	404.20519	10138.5	405.2118835	1
70	1854	1843	1854	1854	0.1022	404.206165	404.206165	45471	405.2125244	1
71	657	362	701	657	0.0362	404.210515	404.210515	30842.1	405.2172241	1
72	2217	2173	2294	2217	0.1222	404.22277	404.22277	1.8195340E+06	405.2297058	1
73	15692	14240	18134	15692	0.8653	404.29338	404.29338	3.4736677E+06	405.3001099	1
74	12	1	877	12	0.0006	404.29373	404.29373	256297.2	405.2995911	1
75	2987	2965	2987	2987	0.1647	404.693365	404.693365	130985	405.7000122	1
76	2778	2778	2811	2778	0.1531	405.20368	405.20368	345728	406.2103271	1
77	417	362	439	417	0.0229	405.20552	405.20552	7131.3	406.212616	1
78	1128	1117	1128	1128	0.0622	405.692465	405.692465	113950	406.6993103	1
79	2954	2954	2965	2954	0.1629	405.69567	405.69567	153876	406.7024536	1
80	1238	1238	1249	1238	0.0682	405.710495	405.710495	17577	406.7172852	1
81	1920	1920	1942	1920	0.1058	405.72864	405.72864	96031	406.7355042	1
82	4901	4901	4934	4901	0.2702	405.74011	405.74011	901584	408.7454529	1
83	6243	6232	6254	6243	0.3442	405.76408	405.76408	400845	407.7732544	1
84	1106	1073	1106	1106	0.0609	406.20037	406.20037	30325	407.2070923	1
85	1678	1678	1766	1678	0.0925	406.21049	406.21049	55795	408.2167664	1
86	4571	4571	4593	4571	0.2520	406.24353	406.24353	396374	408.2528076	1
87	657	525	767	657	0.0362	406.25904	406.25904	385790.7	407.2657166	1
88	2107	2107	2118	2107	0.1161	406.71919	406.71919	130117	407.7259827	1
89	6221	6210	6265	6221	0.3430	406.7666	406.7666	1.5793550E+06	407.7733154	1
90	14889	14834	14922	14889	0.8210	407.12499	407.12499	50261.9	408.1317139	1
91	14625	14603	14625	14625	0.8065	407.125305	407.125305	5380.3	408.1318665	1
92	4219	4197	4263	4219	0.2326	407.19928	407.19928	982884	409.2102966	1
93	2635	2635	2657	2635	0.1453	407.21218	407.21218	178799	409.2187195	1
94	1205	1117	1282	1205	0.0664	407.2159	407.2159	57866	409.2342834	1
95	351	351	395	351	0.0193	407.223745	407.223745	3453.8	409.2344055	1
96	1656	1568	1656	1656	0.0913	407.227755	407.227755	97179	410.2280884	1
97	5011	5011	5022	5011	0.2763	407.22791	407.22791	276599	409.2363281	1
